Comment (English),Comment (Chinese),Compound_Score,Original Data,Translation Status
"After the new update, the quality is worse than before. I ca n’t get in 5 games. The login time is still the same time. Unless it is a war hammer fan, I do n’t recommend it to those who do n’t know the war hammers to play. Enough for me to finish mobile games every day.",新更新后，质量比以前更差。我没有参加5场比赛。登录时间仍然是同一时间。除非是战锤迷，否则我不建议那些不知道战争锤子的人。我每天都可以完成手机游戏。,-0.6908,"{'Nickname': 'popobe', 'Title': '1', 'Play Hours': '104.9', 'Profile Link': 'https://steamcommunity.com/profiles/76561198390761643/', 'Comment': 'After the new update, the quality is worse than before. I ca n’t get in 5 games. The login time is still the same time. Unless it is a war hammer fan, I do n’t recommend it to those who do n’t know the war hammers to play. Enough for me to finish mobile games every day.', 'Date': '2024/11/13', 'Language': 'zh-tw'}",Success
"In the future there are no jokes, only war.",将来没有笑话，只有战争。,-0.6848,"{'Nickname': 'KILLY', 'Title': '1', 'Play Hours': '3.6', 'Profile Link': 'https://steamcommunity.com/profiles/76561198286789167/', 'Comment': 'In the future there are no jokes, only war.', 'Date': '2024/12/1', 'Language': 'en'}",Success
"This was my introduction into the warhammer universe my very first experience with the imperium. After 200hrs 100% completion and countless of the emperors foes fallen..

all that needs to be said....my pledge...is eternal.","这是我对战锤宇宙的介绍，这是我对帝国的第一次经历。200小时后100％完成，无数皇帝敌人掉下来。

所有这些都需要说...。我的承诺...是永恒的。",-0.6705,"{'Nickname': 'Ghost Star', 'Title': '1', 'Play Hours': '201.7', 'Profile Link': 'https://steamcommunity.com/profiles/76561199678713996/', 'Comment': 'This was my introduction into the warhammer universe my very first experience with the imperium. After 200hrs 100% completion and countless of the emperors foes fallen..\n\nall that needs to be said....my pledge...is eternal.', 'Date': '2024/11/13', 'Language': 'en'}",Success
negative reviews = heresy,负面评论=异端,-0.5719,"{'Nickname': ""I'm a melon"", 'Title': '1', 'Play Hours': '86.9', 'Profile Link': 'https://steamcommunity.com/id/dangomelon/', 'Comment': 'negative reviews = heresy', 'Date': '2024/12/1', 'Language': 'en'}",Success
"We are elected by the emperor.Fear plunges faith, Vera is our shield.No one can stop us!The enemies of the empire will be destroyed!For the emperor!",我们是由皇帝选出的。fear击败信仰，维拉是我们的盾牌。没有人可以阻止我们！帝国的敌人将被摧毁！皇帝！,-0.5386,"{'Nickname': 'iScorpion_ru', 'Title': '1', 'Play Hours': '32.4', 'Profile Link': 'https://steamcommunity.com/id/iscorpion_ru/', 'Comment': 'We are elected by the emperor.Fear plunges faith, Vera is our shield.No one can stop us!The enemies of the empire will be destroyed!For the emperor!', 'Date': '2024/11/25', 'Language': 'ru'}",Success
"40,000 years into the future and my teammates still grief me",未来40，000年，我的队友仍然悲伤,-0.4939,"{'Nickname': 'bananapkin', 'Title': '1', 'Play Hours': '165.8', 'Profile Link': 'https://steamcommunity.com/id/bananapkin/', 'Comment': '40,000 years into the future and my teammates still grief me', 'Date': '2024/11/17', 'Language': 'en'}",Success
"In darkness, everyone is equal, except for those who are akin to darkness ...",在黑暗中，每个人都是平等的，除了那些类似于黑暗的人...,-0.4588,"{'Nickname': 'Attrasser', 'Title': '1', 'Play Hours': '20.9', 'Profile Link': 'https://steamcommunity.com/profiles/76561198123436528/', 'Comment': 'In darkness, everyone is equal, except for those who are akin to darkness ...', 'Date': '2024/11/28', 'Language': 'ru'}",Success
"I want to mechanize!
Trrrrum,
Trrrrum,
Trrrrum!
Put Trak Tiki!
I want to mechanize!
It comes from my brain, meat, my skeleton
This!
I'm crazy to get every dynamo under me!
Slice with saliva licks copper wires,
Conducting in my veins Auto-Diresters Locomotives!","我想机械化！
trrrrum，
trrrrum，
trrrrum！
放trak tiki！
我想机械化！
它来自我的大脑，肉，我的骨骼
这！
我很疯狂，让我下面的每一个发电机！
用唾液舔铜线，切片，
用我的静脉进行自动射击器机车！",-0.453,"{'Nickname': 'Tai Lung', 'Title': '1', 'Play Hours': '3.5', 'Profile Link': 'https://steamcommunity.com/profiles/76561199371182087/', 'Comment': ""I want to mechanize!\nTrrrrum,\nTrrrrum,\nTrrrrum!\nPut Trak Tiki!\nI want to mechanize!\nIt comes from my brain, meat, my skeleton\nThis!\nI'm crazy to get every dynamo under me!\nSlice with saliva licks copper wires,\nConducting in my veins Auto-Diresters Locomotives!"", 'Date': '2024/11/20', 'Language': 'tr'}",Success
"I’ve never felt so manly before! Guys, I think we’ve found a cure for low testosterone!",我以前从未感到男子气概！伙计们，我认为我们已经找到了低睾丸激素的方法！,-0.3987,"{'Nickname': 'Hunter X', 'Title': '1', 'Play Hours': '8.6', 'Profile Link': 'https://steamcommunity.com/profiles/76561198253350227/', 'Comment': 'I’ve never felt so manly before! Guys, I think we’ve found a cure for low testosterone!', 'Date': '2024/11/30', 'Language': 'en'}",Success
"Bruh. This game is one of the Greatest to have come out in 2024, if they had the marketing budget of blackops, is would blow it out of the water. The thing is, it's not even a first person shooter, but it puts all the new COD garbage to shame. Buy it now.

PURGE THE HERETIC
BURN THE UNCLEAN
CULL THE XENOS","布鲁。这款游戏是2024年最伟大的游戏之一，如果他们拥有黑色船上的营销预算，就会把它从水中吹出。问题是，它甚至不是第一人称射击者，但它使所有新的鳕鱼垃圾感到羞耻。现在购买。

清除异端
燃烧不洁的
剔除Xenos",-0.3716,"{'Nickname': 'LukeleyDuke', 'Title': '1', 'Play Hours': '103.9', 'Profile Link': 'https://steamcommunity.com/id/lukeleduke/', 'Comment': ""Bruh. This game is one of the Greatest to have come out in 2024, if they had the marketing budget of blackops, is would blow it out of the water. The thing is, it's not even a first person shooter, but it puts all the new COD garbage to shame. Buy it now.\n\nPURGE THE HERETIC\nBURN THE UNCLEAN\nCULL THE XENOS"", 'Date': '2024/11/23', 'Language': 'en'}",Success
